jobName,city,companyName,companyDesc,workTime,studyTime,jobUrl,companyUrl,companyDomain,rongzi
游戏策划师（棋牌类）,10k-15k,上海,上海豆子网络科技有限公司,,经验1-3年,本科,https://www.lagou.com/jobs/3807590.html,https://www.lagou.com/gongsi/129496.html,游戏
游戏策划师,8k-15k,广州,智在云天,,经验1-3年,本科,https://www.lagou.com/jobs/3600103.html,https://www.lagou.com/gongsi/117573.html,"移动互联网,数据服务"
游戏策划师,7k-12k,广州,逗趣互动,,经验3-5年,大专,https://www.lagou.com/jobs/4006187.html,https://www.lagou.com/gongsi/129846.html,移动互联网
游戏策划,8k-10k,武汉,天安锐科,,经验1-3年,大专,https://www.lagou.com/jobs/3978573.html,https://www.lagou.com/gongsi/238836.html,"移动互联网,游戏"
游戏策划（休闲游戏方向）,15k-30k,北京,玩吧,,经验3-5年,本科,https://www.lagou.com/jobs/3752279.html,https://www.lagou.com/gongsi/95651.html,"移动互联网,社交网络"
游戏策划助理,3k-5k,广州,火舞游戏,,经验不限,大专,https://www.lagou.com/jobs/3793136.html,https://www.lagou.com/gongsi/93656.html,游戏
女性向游戏策划,6k-10k,成都,西游网,,经验不限,大专,https://www.lagou.com/jobs/3913596.html,https://www.lagou.com/gongsi/55562.html,游戏
游戏策划师（休闲游戏方向）,13k-25k,武汉,微派,,经验3-5年,本科,https://www.lagou.com/jobs/3917759.html,https://www.lagou.com/gongsi/34205.html,社交网络
游戏策划,8k-15k,深圳,大梦龙途,,经验1-3年,本科,https://www.lagou.com/jobs/3290809.html,https://www.lagou.com/gongsi/107385.html,"移动互联网,游戏"
游戏策划,4k-7k,杭州,碧游,,经验1-3年,本科,https://www.lagou.com/jobs/2195447.html,https://www.lagou.com/gongsi/121986.html,游戏
游戏策划师,6k-12k,广州,广州卓远,,经验3-5年,大专,https://www.lagou.com/jobs/3351963.html,https://www.lagou.com/gongsi/229120.html,移动互联网
游戏策划 - 系统数值方向,10k-20k,成都,91Act,,经验3-5年,本科,https://www.lagou.com/jobs/2914043.html,https://www.lagou.com/gongsi/123505.html,游戏
休闲手机游戏策划,15k-20k,北京,快手,,经验1-3年,本科,https://www.lagou.com/jobs/4013423.html,https://www.lagou.com/gongsi/1880.html,移动互联网
游戏策划,3k-6k,济南,济南团谱,,经验3-5年,不限,https://www.lagou.com/jobs/3705284.html,https://www.lagou.com/gongsi/69217.html,"移动互联网,游戏"
游戏策划,3k-6k,湖州,趣码,,经验1-3年,大专,https://www.lagou.com/jobs/3061225.html,https://www.lagou.com/gongsi/197253.html,"移动互联网,游戏"
游戏策划,10k-20k,杭州,魔方乐游,,经验1-3年,不限,https://www.lagou.com/jobs/3520635.html,https://www.lagou.com/gongsi/204290.html,"游戏,社交网络"
游戏策划,10k-18k,北京,蓝港互动集团,,经验3-5年,本科,https://www.lagou.com/jobs/1615854.html,https://www.lagou.com/gongsi/487.html,游戏
游戏策划,8k-14k,杭州,天极峰数娱,,经验1-3年,大专,https://www.lagou.com/jobs/3222398.html,https://www.lagou.com/gongsi/94060.html,"移动互联网,游戏"
游戏策划,5k-10k,北京,冰火互动,,经验3-5年,本科,https://www.lagou.com/jobs/2360921.html,https://www.lagou.com/gongsi/138135.html,"游戏,移动互联网"
游戏策划,7k-14k,深圳,乐易网络,,经验1-3年,本科,https://www.lagou.com/jobs/2936063.html,https://www.lagou.com/gongsi/33627.html,"移动互联网,游戏"
游戏策划,10k-20k,北京,闲徕互娱,,经验3-5年,本科,https://www.lagou.com/jobs/3859078.html,https://www.lagou.com/gongsi/124192.html,游戏
编程游戏策划,10k-20k,深圳,编程猫,,经验不限,本科,https://www.lagou.com/jobs/3968906.html,https://www.lagou.com/gongsi/68524.html,"移动互联网,教育"
